concept_name,concept_title,category,unit,min_value,max_value,description,omop_id,source,table_name,sub_var,val_var,unit_var,index_var,method,match_value,class,dict,typ,ref,clean,conversion,ricu,blended
tri,Troponin I,chemistry,ng/mL,0,NA,troponin I,4007805,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51002,itm_itm,d_labitems,ts,ricu,0,none,,
wbc,White Blood Cell Count,hematology,K/uL,0,NA,white blood cell count,4298431,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51300|51301,itm_itm,d_labitems,ts,ricu,0,none,,
wbc,White Blood Cell Count,hematology,K/uL,0,NA,white blood cell count,4298431,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51300|51301,itm_itm,d_labitems,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,alkaline phos.,NA,,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,ALT (SGPT),NA,,ts,ricu,0,none,,
ast,Aspartate Aminotransferase,chemistry,IU/L,0,NA,aspartate aminotransferase,4263457,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,AST (SGOT),NA,,ts,ricu,0,none,,
basos,Basophils,hematology,%,0,50,basophils,4172647,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,#NAME?,NA,,ts,ricu,0,none,,
be,Base Excess,blood gas,mEq/L,-25,25,base excess,4284393,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,Base Excess,NA,,ts,ricu,0,none,,
bicar,Bicarbonate,chemistry,mEq/L,5,50,bicarbonate,4194291,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,bicarbonate,NA,,ts,ricu,0,none,check,
bili,Total Bilirubin,chemistry,mg/dL,0,100,total bilirubin,4118986,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,total bilirubin,NA,,ts,ricu,0,none,,
bili_dir,Bilirubin Direct,chemistry,mg/dL,0,50,bilirubin direct,4216632,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,direct bilirubin,NA,,ts,ricu,0,none,,
bnd,Band Form Neutrophils,hematology,%,NA,NA,band form neutrophils,4100147,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,#NAME?,NA,,ts,ricu,0,none,,
